pmid,journal,doi,issn,publisher
10944156,J Exp Bot,,0022-0957,Oxford University Press (OUP)
12231479,Eur Cytokine Netw,,1148-5493,John Libbey Eurotext
11916135,J Enzyme Inhib,,8755-5093,Informa UK Limited
18813787,Int J Oncol,,1019-6439,Spandidos Publications
18664130,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
37515338,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
15208742,Mol Med,,1076-1551,Springer Science and Business Media LLC
12670892,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
29212581,Comp Med,,2769-819X,
16042885,Zhonghua Gan Zang Bing Za Zhi,,1007-3418,
26744869,Eur Rev Med Pharmacol Sci,,2284-0729,
18669302,Zh Obshch Biol,,0044-4596,The Russian Academy of Sciences
18528967,J Rheumatol,,0315-162X,The Journal of Rheumatology
28613662,StatPearls,,,
15964967,Am J Trop Med Hyg,,0002-9637,American Society of Tropical Medicine and Hygiene
16636373,Georgian Med News,,1512-0112,
28975966,Eur Rev Med Pharmacol Sci,,2284-0729,
30584709,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.180069,1872-2075,Elsevier BV
29950072,Zhongguo Zhong Yao Za Zhi,10.19540/j.cnki.cjcmm.20180322.001,1001-5302,China Journal of Chinese Materia Medica
27347333,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
24022934,Zhejiang Da Xue Xue Bao Yi Xue Ban,10.3785/j.issn.1008-9292.2013.04.012,1008-9292,China Science Publishing & Media Ltd.
25352738,Mol Vis,,1090-0535,
17380886,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
21557907,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11776324,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
16579077,Bull Soc Pathol Exot,,0037-9085,Lavoisier
16741026,Exp Biol Med (Maywood),,1535-3702,Frontiers Media SA
19069647,Wei Sheng Yan Jiu,,1000-8020,
18299274,Eur Cytokine Netw,10.1684/ecn.2008.0120,1952-4005,John Libbey Eurotext
22648546,Histol Histopathol,10.14670/HH-27.905,1699-5848,
27681547,J Vector Borne Dis,,0972-9062,Medknow
11360674,Acta Pharmacol Sin,,1671-4083,Springer Science and Business Media LLC
19081849,Acta Biochim Pol,,0001-527X,Frontiers Media SA
25976454,Histol Histopathol,10.14670/HH-11-630,1699-5848,
21965782,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
19533890,Asia Pac J Public Health,,1010-5395,SAGE Publications
10766736,Genes Dev,,0890-9369,Cold Spring Harbor Laboratory
15747869,Vopr Virusol,,0507-4088,Central Research Institute for Epidemiology
32564565,Zhonghua Liu Xing Bing Xue Za Zhi,10.3760/cma.j.cn112338-20190815-00599,0254-6450,
16395491,Hamostaseologie,,0720-9355,Georg Thieme Verlag KG
24902367,Anal Quant Cytopathol Histpathol,,2578-742X,
18468426,Pol Arch Med Wewn,,,
19108467,Zhongguo Gu Shang,,1003-0034,
12820370,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
18304426,Zhonghua Gan Zang Bing Za Zhi,,1007-3418,
12593473,Clin Lab,,1433-6510,Clinical Laboratory Publications
20608180,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
11170055,J Med Virol,,0146-6615,Wiley
15130416,Zhonghua Nei Ke Za Zhi,,0578-1426,
11350919,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
10959706,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
11861662,J Lipid Res,,0022-2275,Elsevier BV
11521598,Klin Lab Diagn,,0869-2084,EKOlab
10875438,Cell Mol Biol (Noisy-le-grand),,0145-5680,CMB Association
11156408,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
22594280,Biofizika,,0006-3029,Pleiades Publishing Ltd
17763712,Ying Yong Sheng Tai Xue Bao,,1001-9332,
24044220,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279,
22582495,Clin Lab,,1433-6510,Clinical Laboratory Publications
22527432,J Drugs Dermatol,,1545-9616,SanovaWorks
26299053,Invest Clin,,0535-5133,Universidad del Zulia
11204566,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
19564817,Med Sci Monit,,1643-3750,"International Scientific Information, Inc."
11049984,Blood,,0006-4971,American Society of Hematology
15835784,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
29618424,Pak J Pharm Sci,,1011-601X,"Faculty of Pharmacy and Pharmaceutical Sciences, University of Karachi"
25958681,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
19209727,Pac Symp Biocomput,,2335-6928,
17493350,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
10760947,J Cell Biochem,,0730-2312,Wiley
38018538,J Biosci,,0973-7138,Springer Science and Business Media LLC
18204143,J Physiol Pharmacol,,0867-5910,
22430988,Rev Argent Microbiol,10.1590/S0325-75412011000300002,0325-7541,Elsevier BV
26167115,Mol Vis,,1090-0535,
11248694,Eur J Biochem,,0014-2956,Wiley
31933977,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
12664443,Kekkaku,,0022-9776,
11985345,Pol J Pharmacol,,1230-6002,
12924192,Vopr Kurortol Fizioter Lech Fiz Kult,,0042-8787,Media Sphere Publishing Group
18622378,Khirurgiia (Sofiia),,0450-2167,
10648425,Blood,,0006-4971,American Society of Hematology
17569348,Zhongguo Zhong Xi Yi Jie He Za Zhi,,1003-5370,
11177211,Br J Nutr,,0007-1145,Cambridge University Press (CUP)
26826815,Pak J Pharm Sci,,1011-601X,"Faculty of Pharmacy and Pharmaceutical Sciences, University of Karachi"
16775291,AJNR Am J Neuroradiol,,0195-6108,American Society of Neuroradiology (ASNR)
26586704,Ann Clin Lab Sci,,1550-8080,
14608683,Radiats Biol Radioecol,,0869-8031,Akademizdatcenter Nauka
25345243,Indian J Exp Biol,,0019-5189,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
27342524,Zhongguo Shi Yan Xue Ye Xue Za Zhi,10.7534/j.issn.1009-2137.2016.03.042,1009-2137,
29634106,Acta Pol Pharm,,0001-6837,Polish Pharmaceutical Society
19260477,Hepatogastroenterology,,0172-6390,Update Medical Publishing
21976956,Mol Vis,,1090-0535,
14594026,Space Med Med Eng (Beijing),,1002-0837,
25152129,Zhonghua Xue Ye Xue Za Zhi,10.3760/cma.j.issn.0253-2727.2014.08.020,0253-2727,
12904270,Acta Pharmacol Sin,,1671-4083,Springer Science and Business Media LLC
15732781,Otolaryngol Pol,,0030-6657,Index Copernicus
27703308,Mol Vis,,1090-0535,
24113271,Exp Mol Med,10.1038/emm.2013.91,2092-6413,Springer Science and Business Media LLC
16969489,Oncol Rep,,1021-335X,Spandidos Publications
16480624,Zhonghua Shao Shang Za Zhi,,1009-2587,
14723817,Zhonghua Er Ke Za Zhi,,0578-1310,
30198686,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
11559543,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
11212254,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
34462374,Brain Nerve,10.11477/mf.1416201882,1881-6096,
12212362,Wien Klin Wochenschr,,0043-5325,Springer Science and Business Media LLC
30051904,Histol Histopathol,10.14670/HH-18-031,1699-5848,
21152271,Mol Vis,,1090-0535,
12024821,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
10648015,J Rheumatol,,0315-162X,The Journal of Rheumatology
27079099,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515,
26271969,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
36895982,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
23401653,Mol Vis,,1090-0535,
11848621,Ann Clin Lab Sci,,0091-7370,
15870939,Oncol Rep,,1021-335X,Spandidos Publications
12474521,Magy Seb,,0025-0295,Akademiai Kiado Zrt.
17684970,Ter Arkh,,0040-3660,Consilium Medicum
15134379,Drugs Exp Clin Res,,0378-6501,
16594544,Vet Comp Orthop Traumatol,,0932-0814,Georg Thieme Verlag KG
18240569,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
20700909,Anal Chem,,1520-6882,American Chemical Society (ACS)
10861548,J Exp Zool,,0022-104X,Wiley
18394334,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
26429367,Hellenic J Cardiol,,2241-5955,
11581577,J Endotoxin Res,,0968-0519,SAGE Publications
27779472,J Physiol Pharmacol,,1899-1505,
25300117,Antibiot Khimioter,,0235-2990,Publishing House OKI
31055537,Wiad Lek,,0043-5147,ALUNA
20715420,Jpn J Vet Res,,0047-1917,
25842852,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
19366077,Rom J Intern Med,,1220-4749,Walter de Gruyter GmbH
12438214,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
34017421,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
12019167,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
12432952,J Mol Microbiol Biotechnol,,1464-1801,S. Karger AG
16756174,Vopr Virusol,,0507-4088,Central Research Institute for Epidemiology
15977792,Prikl Biokhim Mikrobiol,,0555-1099,Akademizdatcenter Nauka
23898512,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
17622202,Int Angiol,,0392-9590,Edizioni Minerva Medica
18260892,Kardiologiia,,0022-9040,APO Society of Specialists in Heart Failure
12133464,Zhonghua Yi Xue Za Zhi,,0376-2491,
17503393,Genome Inform,,0919-9454,
20306667,Egypt J Immunol,,1110-4902,Egyptian Association of Immunologists
23855148,Nephrol News Issues,,0896-1263,
15646825,In Vivo,,0258-851X,Anticancer Research USA Inc.
21090173,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
19103526,Eur Cytokine Netw,10.1684/ecn.2008.0136,1952-4005,John Libbey Eurotext
11585739,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
25551949,Clin Exp Obstet Gynecol,,0390-6663,IMR Press
15500712,Zhonghua Yi Xue Za Zhi,,0376-2491,
11064816,Anal Quant Cytol Histol,,,
17598641,Invest Clin,,0535-5133,Universidad del Zulia
16211260,Int J Mol Med,,1107-3756,Spandidos Publications
32940340,Histol Histopathol,10.14670/HH-18-258,1699-5848,
18583228,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
15699000,Di Yi Jun Yi Da Xue Xue Bao,,1000-2588,
11502884,Mol Pharmacol,,0026-895X,American Society for Pharmacology & Experimental Therapeutics (ASPET)
11215815,J Biol Regul Homeost Agents,,0393-974X,
18198668,Morfologiia,,1026-3543,ECO-Vector LLC
15459646,J Microbiol,,1225-8873,Springer Science and Business Media LLC
27236875,Bull Acad Natl Med,,0001-4079,Elsevier BV
15590423,Eur J Histochem,,1121-760X,PAGEPress Publications
11306717,Mol Pharmacol,,0026-895X,American Society for Pharmacology & Experimental Therapeutics (ASPET)
16386177,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603,
14582399,Genetika,,0016-6758,Akademizdatcenter Nauka
11299781,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
23302332,Zhonghua Bing Li Xue Za Zhi,10.3760/cma.j.issn.0529-5807.2012.11.005,0529-5807,
15931643,J Nephrol,,1121-8428,Springer Science and Business Media LLC
31298323,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201907_18308,2284-0729,
23016331,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
14506168,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
30229837,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201809_15827,2284-0729,
23819038,Acta Naturae,,2075-8251,Acta Naturae Ltd
12500176,Mol Vis,,1090-0535,
12577849,Ter Arkh,,0040-3660,LLC Obyedinennaya Redaktsiya
11062063,Biochem J,,0264-6021,Portland Press Ltd.
30653883,Mikrobiol Z,,1028-0987,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
10727408,Biochem J,,0264-6021,Portland Press Ltd.
16957390,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao,,1671-3877,
25842869,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
17089001,Int J Oncol,,1019-6439,Spandidos Publications
19489277,Zhonghua Yi Xue Za Zhi,,0376-2491,
31232005,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.180492,1872-2075,Elsevier BV
19066132,J Exp Ther Oncol,,1359-4117,Wiley
14974716,Photochem Photobiol,,0031-8655,Wiley
18663967,Izv Akad Nauk Ser Biol,,1026-3470,The Russian Academy of Sciences
11606405,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
15192337,J Vet Sci,,1229-845X,XMLink
14695167,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
24798563,Nefrologia,10.3265/Nefrologia.pre2014.Jan.12436,1989-2284,
12566320,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
11203734,J Orofac Pain,,1064-6655,Quintessence Publishing
11173703,Ann Med Interne (Paris),,0003-410X,
15142447,Ai Zheng,,,
10770846,J Neurobiol,,0022-3034,Wiley
17671684,Int J Oncol,,1019-6439,Spandidos Publications
11180402,J Cell Biochem,,0730-2312,Wiley
35770635,Sheng Li Xue Bao,,0371-0874,
32012499,Wiad Lek,,0043-5147,ALUNA
11095580,Drug Metab Dispos,,0090-9556,American Society for Pharmacology & Experimental Therapeutics (ASPET)
14989173,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
25007625,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
12371140,Histol Histopathol,10.14670/HH-17.1121,0213-3911,
22390062,Pol J Microbiol,,1733-1331,Polish Society of Microbiologists
21950193,Invest Clin,,0535-5133,Universidad del Zulia
11606377,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
15944795,Oncol Rep,,1021-335X,Spandidos Publications
19062711,Zhonghua Zhong Liu Za Zhi,,0253-3766,
24403444,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
11706180,Plant Physiol,,0032-0889,Oxford University Press (OUP)
15954464,Biocell,,0327-9545,
18396630,Zhonghua Yi Xue Za Zhi,,0376-2491,
17201176,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
11939716,J Physiol Pharmacol,,0867-5910,
11895921,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
19536307,Mol Vis,,1090-0535,
35352818,Histol Histopathol,10.14670/HH-18-452,1699-5848,
17380895,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
17627080,J Musculoskelet Neuronal Interact,,1108-7161,
25941715,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
11462897,Hepatogastroenterology,,0172-6390,Update Medical Publishing
17085967,Mol Cells,,1016-8478,Elsevier BV
12435858,Mol Med,,1076-1551,Springer Science and Business Media LLC
15228666,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
22416407,Vestn Khir Im I I Grek,,0042-4625,FSBEI HE I.P. Pavlov SPbSMU MOH Russia
27545213,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
19641684,Exp Clin Cardiol,,1205-6626,
16358959,Rocz Akad Med Bialymst,,,
34150009,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
12724941,Biomed Sci Instrum,,0067-8856,
11247339,Mikrobiol Z,,1028-0987,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
15609857,Prikl Biokhim Mikrobiol,,0555-1099,Akademizdatcenter Nauka
19252416,Cancer Biol Ther,,1555-8576,Informa UK Limited
17539322,Ginecol Obstet Mex,,0300-9041,Nieto Editores
10690617,Hepatogastroenterology,,0172-6390,Update Medical Publishing
14738992,Biochim Biophys Acta,,0006-3002,Elsevier BV
26710459,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515,
38062961,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
11309316,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
12907610,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
17425902,Psicothema,,0214-9915,
24741985,Zhongguo Ying Yong Sheng Li Xue Za Zhi,,1000-6834,Editorial Office of Chinese Journal of Applied Physiology
25826491,Rom J Morphol Embryol,,2066-8279,Societatea Romana de Morfologie
15002752,Biocell,,0327-9545,
11953203,Zhonghua Yi Xue Za Zhi,,0376-2491,
28641616,Zhongguo Shi Yan Xue Ye Xue Za Zhi,10.7534/j.issn.1009-2137.2017.03.007,1009-2137,
11159775,Clin Chem,,0009-9147,Oxford University Press (OUP)
20641162,Bone,,1873-2763,
16274629,Cell Mol Immunol,,2042-0226,Springer Science and Business Media LLC
19835058,ALTEX,,1868-596X,ALTEX Edition
27511995,J Physiol Pharmacol,,1899-1505,
12374701,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
21776299,J Med Life,,1844-3117,S.C.  JURNALUL PENTRU MEDICINA SI VIATA S.R.L
11844871,Mol Med,,1076-1551,Springer Science and Business Media LLC
11034092,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
26841626,Huan Jing Ke Xue,,0250-3301,
21208568,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
19201747,Ann Clin Lab Sci,,1550-8080,
36151640,Virologie (Montrouge),10.1684/13-2.2021.14902,1267-8694,John Libbey Eurotext
27807325,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2016.10.005,1672-7347,
11474125,Mol Med,,1076-1551,Springer Science and Business Media LLC
15944763,Oncol Rep,,1021-335X,Spandidos Publications
12391690,Kyobu Geka,,0021-5252,
12715915,J Med Dent Sci,,1342-8810,
11980848,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
22212920,Folia Neuropathol,,1509-572X,
23599814,J Med Life,,1844-3117,S.C.  JURNALUL PENTRU MEDICINA SI VIATA S.R.L
30820148,Mol Vis,,1090-0535,
12118326,Int J Oncol,,1019-6439,Spandidos Publications
11221836,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
21954596,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
12692265,Mol Cancer Res,,1541-7786,American Association for Cancer Research (AACR)
37732577,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
28614771,J Physiol Pharmacol,,1899-1505,
27228661,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
24020126,Pharmazie,,0031-7144,
24611351,Coll Antropol,,0350-6134,Croatian Anthropological Society
10959704,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
20143672,Ann Acad Med Stetin,,1427-440X,
20387634,Ukr Biokhim Zh (1999),,,
16004262,Izv Akad Nauk Ser Biol,,1026-3470,The Russian Academy of Sciences
23762990,Eksp Klin Farmakol,,0869-2092,Folium Publishing Company
26191122,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
37914237,Rinsho Ketsueki,10.11406/rinketsu.64.1258,0485-1439,
12899389,Chin Med Sci J,,1001-9294,Chinese Medical Sciences Journal
15989007,Ter Arkh,,0040-3660,LLC Obyedinennaya Redaktsiya
17458052,Adv Med Sci,,1896-1126,Elsevier BV
31128030,J BUON,,2241-6293,
10985260,J Leukoc Biol,,0741-5400,Oxford University Press (OUP)
22428467,Eur Rev Med Pharmacol Sci,,1128-3602,
11221890,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
21442950,Mikrobiol Z,,1028-0987,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
27412932,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
24409759,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
10949910,Mol Med,,1076-1551,Springer Science and Business Media LLC
14752275,Cell Cycle,,1538-4101,Informa UK Limited
31233686,Vopr Pitan,10.24411/0042-8833-2019-10015,0042-8833,Geotar-Media Publishing Group
18204791,Int J Mol Med,,1107-3756,Spandidos Publications
17631765,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
11833780,Acta Biochim Pol,,0001-527X,Frontiers Media SA
21615995,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
17543216,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
16050109,Evolution,,0014-3820,The Society for the Study of Evolution
12620973,Hum Mol Genet,,0964-6906,Oxford University Press (OUP)
16136724,J Submicrosc Cytol Pathol,,1122-9497,
18080495,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
24829177,Neth J Med,,1872-9061,
17172020,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
26521461,Klin Khir,,0023-2130,"Liga-Inform, Ltd."
17907405,Biofizika,,0006-3029,Pleiades Publishing Ltd
18405058,Coll Antropol,,0350-6134,Croatian Anthropological Society
15842829,Zhonghua Yu Fang Yi Xue Za Zhi,,0253-9624,
18157474,Sheng Li Xue Bao,,0371-0874,
38085149,Iran J Allergy Asthma Immunol,10.18502/ijaai.v22i5.13997,1735-5249,Knowledge E DMCC
19122831,Mol Vis,,1090-0535,
21154164,Curr Opin Mol Ther,,2040-3445,
15031510,Am J Trop Med Hyg,,0002-9637,American Society of Tropical Medicine and Hygiene
11481257,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
22340390,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
23981607,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
17786354,Oncol Rep,,1021-335X,Spandidos Publications
11888927,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
24396996,Biocell,,0327-9545,
15636144,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
31622254,Wiad Lek,,0043-5147,ALUNA
11732569,Ital J Anat Embryol,,1122-6714,Firenze University Press
11321455,Clin Hemorheol Microcirc,,1386-0291,IOS Press
11788791,Mol Med,,1076-1551,Springer Science and Business Media LLC
18989530,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
14527354,Chin Med J (Engl),,0366-6999,Ovid Technologies (Wolters Kluwer Health)
19260479,Hepatogastroenterology,,0172-6390,Update Medical Publishing
29693365,Asian Pac J Cancer Prev,10.22034/APJCP.2018.19.4.969,2476-762X,EpiSmart Science Vector Ltd
19331208,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
18669257,Prikl Biokhim Mikrobiol,,0555-1099,Pleiades Publishing Ltd
16185532,Zhonghua Yi Xue Za Zhi,,0376-2491,
15559612,Pol Merkur Lekarski,,1426-9686,ALUNA
17914591,Oncol Rep,,1021-335X,Spandidos Publications
11445847,Int J Oncol,,1019-6439,Spandidos Publications
18791271,Cell Oncol,10.3233/clo-2008-0442,1570-5870,
12023868,Biochem Soc Trans,,0300-5127,Portland Press Ltd.
10809664,Genes Dev,,0890-9369,Cold Spring Harbor Laboratory
16447766,Rinsho Shinkeigaku,,0009-918X,Societas Neurologica Japonica
12553071,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
12857501,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603,
11309272,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
12217806,Haematologica,,0390-6078,Ferrata Storti Foundation (Haematologica)
20848843,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279,
21575478,Zhonghua Zhong Liu Za Zhi,,0253-3766,
12680244,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
22430657,Pain Physician,,2150-1149,American Society of Interventional Pain Physicians
33645151,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.200312,1872-2075,Elsevier BV
12719784,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
11987468,Folia Biol (Krakow),,0015-5497,"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences"
12813565,Cell Mol Biol Lett,,1425-8153,Springer Science and Business Media LLC
12481431,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
16913229,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
15495983,J Environ Sci (China),,1001-0742,Elsevier BV
12750285,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
27293376,Mol Vis,,1090-0535,
16081580,Ann Clin Lab Sci,,0091-7370,
20684070,J Mol Biol,,1089-8638,Elsevier BV
25169219,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,,1001-9391,
18225661,Biofizika,,0006-3029,Pleiades Publishing Ltd
37034225,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
15969078,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
20952726,In Vivo,,1791-7549,Anticancer Research USA Inc.
18686603,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,,1000-503X,
18177616,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
21574455,Klin Lab Diagn,,0869-2084,EKOlab
12784746,Ital Heart J,,1129-471X,
15100990,Genet Mol Res,,1676-5680,Genetics and Molecular Research
21961240,Zhonghua Nan Ke Xue,,1009-3591,
24966661,Mol Vis,,1090-0535,
19292032,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
10850426,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
12719780,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
10949036,Mol Cell,,1097-2765,Elsevier BV
10753850,Blood,,0006-4971,American Society of Hematology
11586265,J Urol,,0022-5347,Ovid Technologies (Wolters Kluwer Health)
34458691,MicroPubl Biol,10.17912/micropub.biology.000430,2578-9430,
30726655,Klin Lab Diagn,10.18821/0869-2084-2018-63-8-500-505,0869-2084,EKOlab
21169731,J Endocrinol Invest,10.3275/7411,1720-8386,Springer Science and Business Media LLC
16705863,Mol Cell Biomech,,1556-5297,Sin-Chn Scientific Press Pte. Ltd (Singapore) (Publications)
23239849,In Vivo,,1791-7549,Anticancer Research USA Inc.
32642284,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
22166631,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
21207640,Pol Merkur Lekarski,,1426-9686,ALUNA
20957220,Int J Nanomedicine,,1178-2013,Informa UK Limited
26927340,Ann Clin Lab Sci,,1550-8080,
16496675,Yao Xue Xue Bao,,0513-4870,
15498113,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
14959821,Methods Mol Med,,1543-1894,Humana Press
16379289,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
19238754,Biochemistry,,1520-4995,American Chemical Society (ACS)
23567848,Iran Biomed J,10.6091/ibj.1114.2013,2008-823X,CMV Verlag
15748434,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
16026142,Bratisl Lek Listy,,0006-9248,
11606399,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
11977244,Dokl Biochem,,0012-4958,
12841135,Stomatologiia (Mosk),,0039-1735,Media Sphere Publishing Group
29375048,J Physiol Pharmacol,,1899-1505,
33083498,ArXiv,,2331-8422,
11827167,Mol Cell Biochem,,0300-8177,Springer Science and Business Media LLC
12848090,Ital Heart J,,1129-471X,
11563328,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
10937349,Int J Tissue React,,0250-0868,
33334792,Ann Clin Lab Sci,,1550-8080,
22519177,Bing Du Xue Bao,,1000-8721,
12442900,Mol Cells,,1016-8478,Elsevier BV
26027278,Vestn Ross Akad Med Nauk,,0869-6047,Paediatrician Publishers LLC
12603024,Pac Symp Biocomput,,2335-6928,
15724381,Egypt J Immunol,,1110-4902,Egyptian Association of Immunologists
28829501,Eur Rev Med Pharmacol Sci,,2284-0729,
16965676,Ai Zheng,,,
