publisher,journal,total_pmids
IMR Press,Front Biosci (Landmark Ed),13
IMR Press,Front Biosci (Schol Ed),1
IMR Press,J Integr Neurosci,2
IOP Publishing,Biofabrication,11
IOP Publishing,Biomed Mater,6
IOP Publishing,J Breath Res,1
IOP Publishing,J Neural Eng,2
IOP Publishing,J Phys Condens Matter,8
IOP Publishing,Nanotechnology,13
IOP Publishing,Phys Biol,20
IOP Publishing,Physiol Meas,1
IOS Press,Biomed Mater Eng,1
IOS Press,Biorheology,1
IOS Press,Cancer Biomark,6
IOS Press,Clin Hemorheol Microcirc,2
IOS Press,In Silico Biol,4
IOS Press,J Alzheimers Dis,61
IOS Press,J Huntingtons Dis,5
IOS Press,J Parkinsons Dis,6
IOS Press,Restor Neurol Neurosci,3
IOS Press,Technol Health Care,2
IOS Press,Tumour Biol,4
IWA Publishing,Water Sci Technol,3
Ideggyogyaszati Szemle Journal,Ideggyogy Sz,2
"Impact Journals, LLC",Aging (Albany NY),61
"Impact Journals, LLC",Oncotarget,222
Inderscience Publishers,Int J Bioinform Res Appl,1
Inderscience Publishers,Int J Comput Biol Drug Des,4
Inderscience Publishers,Int J Data Min Bioinform,1
Index Copernicus,Otolaryngol Pol,2
Index Copernicus,Pol Przegl Chir,1
Informa Healthcare,Curr Med Res Opin,1
Informa Healthcare,Expert Opin Biol Ther,2
Informa Healthcare,Expert Opin Ther Pat,1
Informa Healthcare,Expert Opin Ther Targets,1
Informa UK Limited,ASN Neuro,6
Informa UK Limited,Acta Cardiol,1
Informa UK Limited,Acta Chir Belg,1
Informa UK Limited,Acta Clin Belg,1
Informa UK Limited,Acta Otolaryngol,7
Informa UK Limited,Adipocyte,3
Informa UK Limited,Amyloid,6
Informa UK Limited,Amyotroph Lateral Scler,2
Informa UK Limited,Anim Cells Syst (Seoul),1
Informa UK Limited,Ann Med,2
Informa UK Limited,Ann Trop Med Parasitol,1
Informa UK Limited,Arch Androl,1
Informa UK Limited,Arch Anim Nutr,1
Informa UK Limited,Arch Physiol Biochem,5
Informa UK Limited,Artif Cells Blood Substit Immobil Biotechnol,2
Informa UK Limited,Artif Cells Nanomed Biotechnol,10
Informa UK Limited,Autoimmunity,19
Informa UK Limited,Autophagy,156
Informa UK Limited,Avian Pathol,2
Informa UK Limited,Bioanalysis,8
Informa UK Limited,Bioarchitecture,1
Informa UK Limited,Bioengineered,32
Informa UK Limited,Biofouling,4
Informa UK Limited,Biomarkers,4
Informa UK Limited,Biomatter,2
Informa UK Limited,Biosci Biotechnol Biochem,32
Informa UK Limited,Biotech Histochem,4
Informa UK Limited,Biotechniques,21
Informa UK Limited,Br Poult Sci,3
Informa UK Limited,Brain Inj,2
Informa UK Limited,COPD,1
Informa UK Limited,Cancer Biol Ther,33
Informa UK Limited,Cancer Invest,2
Informa UK Limited,Cancer Manag Res,19
Informa UK Limited,Cell Adh Migr,12
Informa UK Limited,Cell Adhes Commun,1
Informa UK Limited,Cell Commun Adhes,8
Informa UK Limited,Cell Cycle,221
Informa UK Limited,Channels (Austin),14
Informa UK Limited,Chimerism,1
Informa UK Limited,Chronobiol Int,3
Informa UK Limited,Clin Cosmet Investig Dermatol,1
Informa UK Limited,Clin Exp Hypertens,1
Informa UK Limited,Clin Exp Optom,1
Informa UK Limited,Clin Lipidol,1
Informa UK Limited,Commun Integr Biol,7
Informa UK Limited,Comput Methods Biomech Biomed Engin,2
Informa UK Limited,Connect Tissue Res,12
Informa UK Limited,Crit Rev Biochem Mol Biol,1
Informa UK Limited,Crit Rev Food Sci Nutr,2
Informa UK Limited,Curr Eye Res,16
Informa UK Limited,DNA Seq,11
Informa UK Limited,Diabetes Metab Syndr Obes,1
Informa UK Limited,Drug Chem Toxicol,6
Informa UK Limited,Drug Deliv,11
Informa UK Limited,Drug Des Devel Ther,13
Informa UK Limited,Drug Dev Ind Pharm,6
Informa UK Limited,Emerg Microbes Infect,12
Informa UK Limited,Endocr Res,2
Informa UK Limited,Environ Technol,1
Informa UK Limited,Epigenetics,23
Informa UK Limited,Epigenomics,8
Informa UK Limited,Exp Lung Res,9
Informa UK Limited,Expert Opin Biol Ther,1
Informa UK Limited,Expert Opin Drug Deliv,1
Informa UK Limited,Expert Opin Pharmacother,1
Informa UK Limited,Expert Opin Ther Targets,4
Informa UK Limited,Expert Rev Clin Immunol,1
Informa UK Limited,Expert Rev Clin Pharmacol,1
Informa UK Limited,Expert Rev Proteomics,2
Informa UK Limited,Fly (Austin),12
Informa UK Limited,Food Addit Contam,2
Informa UK Limited,Food Addit Contam Part A Chem Anal Control Expo Risk Assess,3
Informa UK Limited,Food Addit Contam Part B Surveill,1
Informa UK Limited,Free Radic Res,23
Informa UK Limited,Future Cardiol,1
Informa UK Limited,Future Med Chem,6
Informa UK Limited,Future Microbiol,5
Informa UK Limited,Future Oncol,3
Informa UK Limited,Future Virol,2
Informa UK Limited,Growth Factors,10
Informa UK Limited,Gut Microbes,7
Informa UK Limited,Gynecol Endocrinol,3
Informa UK Limited,HFSP J,1
Informa UK Limited,HIV AIDS (Auckl),1
Informa UK Limited,HIV Clin Trials,1
Informa UK Limited,Hematology,2
Informa UK Limited,Hemoglobin,3
Informa UK Limited,Hum Vaccin Immunother,3
Informa UK Limited,Hypertens Pregnancy,2
Informa UK Limited,Hypoxia (Auckl),2
Informa UK Limited,Immunol Invest,10
Informa UK Limited,Immunopharmacol Immunotoxicol,8
Informa UK Limited,Immunotargets Ther,1
Informa UK Limited,Immunotherapy,2
Informa UK Limited,Inhal Toxicol,7
Informa UK Limited,Int J Chron Obstruct Pulmon Dis,1
Informa UK Limited,Int J Environ Health Res,1
Informa UK Limited,Int J Food Sci Nutr,5
Informa UK Limited,Int J Hyperthermia,1
Informa UK Limited,Int J Nanomedicine,49
Informa UK Limited,Int J Neurosci,6
Informa UK Limited,Int J Occup Environ Health,1
Informa UK Limited,Int J Psychiatry Clin Pract,1
Informa UK Limited,Int J Radiat Biol,12
Informa UK Limited,Islets,5
Informa UK Limited,J Asian Nat Prod Res,1
Informa UK Limited,J Biochem Mol Biol Biophys,1
Informa UK Limited,J Biol Dyn,1
Informa UK Limited,J Biomater Sci Polym Ed,11
Informa UK Limited,J Biomol Struct Dyn,221
Informa UK Limited,J Chemother,2
Informa UK Limited,J Drug Target,14
Informa UK Limited,J Environ Sci Health A Tox Hazard Subst Environ Eng,3
Informa UK Limited,J Environ Sci Health B,1
Informa UK Limited,J Enzyme Inhib,2
Informa UK Limited,J Enzyme Inhib Med Chem,19
Informa UK Limited,J Hepatocell Carcinoma,1
Informa UK Limited,J Histotechnol,1
Informa UK Limited,J Immunoassay Immunochem,5
Informa UK Limited,J Immunotoxicol,5
Informa UK Limited,J Inflamm Res,5
Informa UK Limited,J Int Soc Sports Nutr,1
Informa UK Limited,J Liposome Res,1
Informa UK Limited,J Matern Fetal Neonatal Med,4
Informa UK Limited,J Med Eng Technol,1
Informa UK Limited,J Microencapsul,5
Informa UK Limited,J Neurogenet,5
Informa UK Limited,J Obstet Gynaecol,2
Informa UK Limited,J Oral Microbiol,1
Informa UK Limited,J Pain Res,2
Informa UK Limited,J Recept Signal Transduct Res,13
Informa UK Limited,J Toxicol Environ Health A,7
Informa UK Limited,Leuk Lymphoma,15
Informa UK Limited,MAbs,36
Informa UK Limited,Mitochondrial DNA,1
Informa UK Limited,Mitochondrial DNA A DNA Mapp Seq Anal,11
Informa UK Limited,Mol Cell Biol,658
Informa UK Limited,Mol Cell Oncol,1
Informa UK Limited,Mol Membr Biol,14
Informa UK Limited,Mycologia,12
Informa UK Limited,N Z Vet J,2
Informa UK Limited,Nanomedicine (Lond),8
Informa UK Limited,Nanotoxicology,5
Informa UK Limited,Nat Prod Res,5
Informa UK Limited,Neurol Res,9
Informa UK Limited,Neuropsychiatr Dis Treat,1
Informa UK Limited,Nucleosides Nucleotides Nucleic Acids,5
Informa UK Limited,Nucleus,22
Informa UK Limited,Nutr Cancer,9
Informa UK Limited,Nutr Neurosci,2
Informa UK Limited,Onco Targets Ther,35
Informa UK Limited,Oncoimmunology,4
Informa UK Limited,Ophthalmic Genet,1
Informa UK Limited,Pathog Glob Health,1
Informa UK Limited,Pediatr Pathol Mol Med,1
Informa UK Limited,Pharm Biol,11
Informa UK Limited,Pharm Dev Technol,2
Informa UK Limited,Pharmacogenomics,3
Informa UK Limited,Plant Signal Behav,57
Informa UK Limited,Platelets,24
Informa UK Limited,Postgrad Med,1
Informa UK Limited,Prep Biochem Biotechnol,8
Informa UK Limited,Prion,7
Informa UK Limited,RNA Biol,71
Informa UK Limited,Recept Channels,3
Informa UK Limited,Redox Rep,6
Informa UK Limited,Regen Med,2
Informa UK Limited,Ren Fail,5
Informa UK Limited,SAR QSAR Environ Res,2
Informa UK Limited,Scand Cardiovasc J,1
Informa UK Limited,Scand J Clin Lab Invest,10
Informa UK Limited,Scand J Clin Lab Invest Suppl,2
Informa UK Limited,Scand J Gastroenterol,10
Informa UK Limited,Scand J Infect Dis,2
Informa UK Limited,Scand J Rheumatol,2
Informa UK Limited,Small GTPases,7
Informa UK Limited,Stress,3
Informa UK Limited,Syst Biol Reprod Med,4
Informa UK Limited,Toxicol Mech Methods,8
Informa UK Limited,Transcription,11
Informa UK Limited,Vasc Health Risk Manag,1
Informa UK Limited,Vet Q,1
Informa UK Limited,Virulence,19
Informa UK Limited,Xenobiotica,5
Institute of Biochemistry,Biomed Khim,24
"Institute of Cytology and Genetics, SB RAS",Vavilovskii Zhurnal Genet Selektsii,3
Institute of Electrical and Electronics Engineers (IEEE),IEEE J Biomed Health Inform,2
Institute of Electrical and Electronics Engineers (IEEE),IEEE J Transl Eng Health Med,1
Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans Biomed Circuits Syst,1
Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans Biomed Eng,1
Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans Nanobioscience,7
Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans Syst Man Cybern B Cybern,1
Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans Ultrason Ferroelectr Freq Control,1
Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans Vis Comput Graph,1
Institute of Electrical and Electronics Engineers (IEEE),IEEE/ACM Trans Comput Biol Bioinform,29
Institute of Physiology of the Czech Academy of Sciences,Physiol Res,14
Institute of Rural Health,Ann Agric Environ Med,3
"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",Folia Biol (Krakow),5
Institution of Engineering and Technology (IET),IET Syst Biol,11
Institution of Engineering and Technology (IET),Syst Biol (Stevenage),7
Instituto Nacional de Salud (Colombia),Biomedica,3
Institutul National de Cercetare Dezvoltare Medico-Militara &quot;Cantacuzino&quot;,Roum Arch Microbiol Immunol,1
Inter-Research Science Center,Dis Aquat Organ,7
International Academic and Research Consortium,J Heart Valve Dis,3
International Association of Physical Chemists (IAPC),ADMET DMPK,1
International Heart Journal (Japanese Heart Journal),Int Heart J,3
International Heart Journal (Japanese Heart Journal),Jpn Heart J,1
International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA),Biosci Trends,2
"International Scientific Information, Inc.",Med Sci Monit,30
International Society of Histology & Cytology,Arch Histol Cytol,6
International Union Against Tuberculosis and Lung Disease,Int J Tuberc Lung Dis,6
International Union of Crystallography (IUCr),Acta Crystallogr A Found Adv,1
International Union of Crystallography (IUCr),Acta Crystallogr C,2
International Union of Crystallography (IUCr),Acta Crystallogr C Struct Chem,2
International Union of Crystallography (IUCr),Acta Crystallogr D Biol Crystallogr,196
International Union of Crystallography (IUCr),Acta Crystallogr D Struct Biol,30
International Union of Crystallography (IUCr),Acta Crystallogr F Struct Biol Commun,66
International Union of Crystallography (IUCr),Acta Crystallogr Sect E Struct Rep Online,1
International Union of Crystallography (IUCr),Acta Crystallogr Sect F Struct Biol Cryst Commun,120
International Union of Crystallography (IUCr),IUCrJ,2
International Union of Crystallography (IUCr),J Synchrotron Radiat,9
Ivyspring International Publisher,Int J Biol Sci,41
Ivyspring International Publisher,Int J Med Sci,13
Ivyspring International Publisher,J Cancer,9
Ivyspring International Publisher,Theranostics,59
JMIR Publications Inc.,JMIR Res Protoc,1
JSTOR,Avian Dis,1
Japan Academy,Proc Jpn Acad Ser B Phys Biol Sci,3
Japan Antibiotics Research Association,J Antibiot (Tokyo),2
Japan Atherosclerosis Society,J Atheroscler Thromb,6
Japan Endocrine Society,Endocr J,9
Japan Oil Chemists' Society,J Oleo Sci,5
Japan Society for Cell Biology,Cell Struct Funct,13
Japan Society of Histochemistry & Cytochemistry,Acta Histochem Cytochem,1
Japanese Association for Laboratory Animal Science,Exp Anim,7
Japanese Association of Virology,Uirusu,1
Japanese Circulation Society,Circ J,5
Japanese Circulation Society,Jpn Circ J,2
Japanese Leprosy Association,Nihon Hansenbyo Gakkai Zasshi,1
Japanese Pharmacological Society,J Pharmacol Sci,8
Japanese Pharmacological Society,Nihon Yakurigaku Zasshi,1
Japanese Society for Bacteriology,Nihon Saikingaku Zasshi,1
Japanese Society for Dental Materials and Devices,Dent Mater J,1
Japanese Society for Lymphoreticular Tissue Research,J Clin Exp Hematop,1
Japanese Society for Magnetic Resonance in Medicine,Magn Reson Med Sci,1
Japanese Society for Plant Cell and Molecular Biology,Plant Biotechnol (Tokyo),1
Japanese Society of Allergology,Allergol Int,2
Japanese Society of Animal Reproduction,J Reprod Dev,12
Japanese Society of Breeding,Breed Sci,1
Japanese Society of Hypertension,Hypertens Res,3
Japanese Society of Internal Medicine,Intern Med,2
Japanese Society of Internal Medicine,Nihon Naika Gakkai Zasshi,1
Japanese Society of Microbial Ecology,Microbes Environ,2
Japanese Society of Toxicology,J Toxicol Sci,6
Japanese Society of Veterinary Science,J Vet Med Sci,15
Jaypee Brothers Medical Publishing,Indian J Chest Dis Allied Sci,1
Jaypee Brothers Medical Publishing,J Contemp Dent Pract,1
John Libbey Eurotext,Ann Biol Clin (Paris),4
John Libbey Eurotext,Eur Cytokine Netw,11
John Libbey Eurotext,Eur J Dermatol,2
John Libbey Eurotext,Magnes Res,1
John Libbey Eurotext,Orthod Fr,1
John Libbey Eurotext,Virologie (Montrouge),1
Journal of Biological Methods,J Biol Methods,1
Journal of Biomedical Research,J Biomed Res,3
Journal of Chinese Integrative Medicine Press,Zhong Xi Yi Jie He Xue Bao,3
Journal of Infection in Developing Countries,J Infect Dev Ctries,4
Journal of Injury and Violence Research,J Inj Violence Res,1
Journal of Molecular Signaling,J Mol Signal,2
Journal of Neurosurgery Publishing Group (JNSPG),J Neurosurg,6
Journal of Neurosurgery Publishing Group (JNSPG),J Neurosurg Spine,1
Journal of Neurosurgery Publishing Group (JNSPG),Neurosurg Focus,3
Journal of Pattern Recognition Research,J Proteolysis,1
Kare Publishing,Anatol J Cardiol,1
Keio Journal of Medicine,Keio J Med,1
King Faisal Specialist Hospital and Research Centre,Ann Saudi Med,2
King Faisal Specialist Hospital and Research Centre - DIGITAL COMMONS JOURNALS,Hematol Oncol Stem Cell Ther,1
Knowledge E,Acta Med Iran,1
Knowledge E,Avicenna J Med Biotechnol,1
Knowledge E,Int J Reprod Biomed,1
Knowledge E,Iran J Allergy Asthma Immunol,5
Knowledge E DMCC,Iran J Allergy Asthma Immunol,2
Knowledge Enterprise Journals,Med Res Arch,1
Korean Academy of Medical Sciences,J Korean Med Sci,6
Korean Academy of Periodontology,J Periodontal Implant Sci,1
Korean Breast Cancer Society,J Breast Cancer,1
Korean Cancer Association,Cancer Res Treat,3
Korean Diabetes Association,Diabetes Metab J,1
Korean Endocrine Society,Endocrinol Metab (Seoul),5
Korean Pharmacopuncture Institute,J Pharmacopuncture,1
Korean Society for Biochemistry and Molecular Biology - BMB Reports,BMB Rep,28
Korean Society for Biochemistry and Molecular Biology - BMB Reports,J Biochem Mol Biol,6
Korean Society for Microbiology and Biotechnology,J Microbiol Biotechnol,20
Korean Society for Parasitology,Korean J Parasitol,10
Korean Society for Parasitology,Parasites Hosts Dis,1
Korean Society for Preventive Medicine,J Prev Med Public Health,1
Korean Society for Stem Cell Research,Int J Stem Cells,1
Korean Society of Cancer Prevention,J Cancer Prev,1
Korean Society of Developmental Biology,Dev Reprod,1
Korean Society of Otorhinolaryngology-Head and Neck Surgery,Clin Exp Otorhinolaryngol,1
Kurume Medical Journal,Kurume Med J,2
LLC Global Media Technology,Eksp Klin Gastroenterol,1
LLC Information and Research Center Likarska Sprava,Lik Sprava,6
LLC Obyedinennaya Redaktsiya,Ter Arkh,5
Lavoisier,Bull Soc Pathol Exot,1
"Life Science Alliance, LLC",Life Sci Alliance,34
"Liga-Inform, Ltd.",Klin Khir,3
MDPI AG,Adv Respir Med,1
MDPI AG,Animals (Basel),12
MDPI AG,Antibiotics (Basel),7
MDPI AG,Antioxidants (Basel),13
MDPI AG,Bioengineering (Basel),2
MDPI AG,Biology (Basel),15
MDPI AG,Biomedicines,15
MDPI AG,Biomolecules,93
MDPI AG,Biosensors (Basel),4
MDPI AG,Cancers (Basel),22
MDPI AG,Cells,177
MDPI AG,Children (Basel),1
MDPI AG,Curr Issues Mol Biol,4
MDPI AG,Curr Oncol,2
MDPI AG,Diagnostics (Basel),2
MDPI AG,Foods,11
MDPI AG,Gels,1
MDPI AG,Genes (Basel),68
MDPI AG,Insects,1
MDPI AG,Int J Environ Res Public Health,11
MDPI AG,Int J Mol Sci,720
MDPI AG,J Clin Med,6
MDPI AG,J Dev Biol,1
MDPI AG,J Funct Morphol Kinesiol,1
MDPI AG,J Fungi (Basel),9
MDPI AG,Life (Basel),11
MDPI AG,Mar Drugs,20
MDPI AG,Materials (Basel),2
MDPI AG,Med Sci (Basel),1
MDPI AG,Medicina (Kaunas),3
MDPI AG,Medicines (Basel),1
MDPI AG,Membranes (Basel),2
MDPI AG,Metabolites,6
MDPI AG,Methods Protoc,1
MDPI AG,Microarrays (Basel),1
MDPI AG,Micromachines (Basel),1
MDPI AG,Microorganisms,22
MDPI AG,Molecules,198
MDPI AG,Nanomaterials (Basel),4
MDPI AG,Noncoding RNA,1
MDPI AG,Nutrients,45
MDPI AG,Pathogens,5
MDPI AG,Pharmaceuticals (Basel),8
MDPI AG,Pharmaceutics,9
MDPI AG,Plants (Basel),16
MDPI AG,Pneumonol Alergol Pol,3
MDPI AG,Polymers (Basel),11
MDPI AG,Proteomes,6
MDPI AG,Sensors (Basel),13
MDPI AG,Toxins (Basel),43
MDPI AG,Vaccines (Basel),3
MDPI AG,Viruses,85
MIT Press - Journals,Artif Life,1
MIT Press - Journals,Evol Comput,1
"MJS Publishing, Medical Journals Sweden AB",Acta Odontol Scand,1
"MJS Publishing, Medical Journals Sweden AB",Acta Oncol,1
MRE Press,Eur J Gynaecol Oncol,3
Maad Rayan Publishing Company,Bioimpacts,1
Maad Rayan Publishing Company,J Res Health Sci,1
Magnolia Press,Zootaxa,1
Malaysian Society of Parasitology and Tropical Medicine,Trop Biomed,4
Maney Publishing,Neurol Res,1
Mark Allen Group,Br J Hosp Med (Lond),1
Mark Allen Group,J Wound Care,1
Marshfield Clinic Research Institute,Clin Med Res,1
Mary Ann Liebert Inc,AIDS Res Hum Retroviruses,17
Mary Ann Liebert Inc,Adv Wound Care (New Rochelle),1
Mary Ann Liebert Inc,Antioxid Redox Signal,51
Mary Ann Liebert Inc,Antisense Nucleic Acid Drug Dev,1
Mary Ann Liebert Inc,Assay Drug Dev Technol,4
Mary Ann Liebert Inc,Brain Connect,1
Mary Ann Liebert Inc,Breastfeed Med,1
Mary Ann Liebert Inc,CRISPR J,2
Mary Ann Liebert Inc,Cancer Biother Radiopharm,11
Mary Ann Liebert Inc,Cannabis Cannabinoid Res,2
Mary Ann Liebert Inc,Cell Reprogram,6
Mary Ann Liebert Inc,Cloning Stem Cells,3
Mary Ann Liebert Inc,DNA Cell Biol,26
Mary Ann Liebert Inc,Dis Manag,1
Mary Ann Liebert Inc,Foodborne Pathog Dis,2
Mary Ann Liebert Inc,Genet Test Mol Biomarkers,8
Mary Ann Liebert Inc,Hum Gene Ther,28
Mary Ann Liebert Inc,Hum Gene Ther Methods,1
Mary Ann Liebert Inc,Hybrid Hybridomics,8
Mary Ann Liebert Inc,Hybridoma,5
Mary Ann Liebert Inc,Hybridoma (Larchmt),20
Mary Ann Liebert Inc,J Aerosol Med Pulm Drug Deliv,1
Mary Ann Liebert Inc,J Comput Biol,16
Mary Ann Liebert Inc,J Hematother Stem Cell Res,3
Mary Ann Liebert Inc,J Interferon Cytokine Res,27
Mary Ann Liebert Inc,J Med Food,6
Mary Ann Liebert Inc,J Neurotrauma,15
Mary Ann Liebert Inc,J Ocul Pharmacol Ther,1
Mary Ann Liebert Inc,Lymphat Res Biol,3
Mary Ann Liebert Inc,Microb Drug Resist,14
Mary Ann Liebert Inc,Monoclon Antib Immunodiagn Immunother,5
Mary Ann Liebert Inc,Nucleic Acid Ther,7
Mary Ann Liebert Inc,OMICS,18
Mary Ann Liebert Inc,Oligonucleotides,3
Mary Ann Liebert Inc,Rejuvenation Res,7
Mary Ann Liebert Inc,Stem Cells Dev,26
Mary Ann Liebert Inc,Surg Infect (Larchmt),2
Mary Ann Liebert Inc,Ther Hypothermia Temp Manag,1
Mary Ann Liebert Inc,Thyroid,10
Mary Ann Liebert Inc,Tissue Eng,8
Mary Ann Liebert Inc,Tissue Eng Part A,27
Mary Ann Liebert Inc,Tissue Eng Part C Methods,11
Mary Ann Liebert Inc,Vector Borne Zoonotic Dis,5
Mary Ann Liebert Inc,Viral Immunol,5
Mary Ann Liebert Inc,Zebrafish,4
Massachusetts Medical Society,N Engl J Med,9
Media Sphere Publishing Group,Arkh Patol,6
Media Sphere Publishing Group,Mol Gen Mikrobiol Virusol,2
Media Sphere Publishing Group,Stomatologiia (Mosk),1
Media Sphere Publishing Group,Sud Med Ekspert,1
Media Sphere Publishing Group,Vestn Oftalmol,2
Media Sphere Publishing Group,Vopr Kurortol Fizioter Lech Fiz Kult,1
Media Sphere Publishing Group,Zh Nevrol Psikhiatr Im S S Korsakova,7
Media Sphere Publishing House,Zh Nevrol Psikhiatr Im S S Korsakova,1
Medical Association of Nippon Medical School,J Nippon Med Sch,1
Medical Association of Zenica-Doboj,Med Glas (Zenica),1
Medical Informational Agency Publishers,Klin Med (Mosk),3
Medical Journals Sweden AB,Acta Derm Venereol,1
Medical Journals Sweden AB,Acta Orthop,1
"Medicina Oral, S.L.",Med Oral Patol Oral Cir Bucal,1
Medicinska Naklada d.o.o.,Psychiatr Danub,1
Medknow,Asian J Androl,8
Medknow,Asian Pac J Trop Med,1
Medknow,Chin J Physiol,5
Medknow,Indian J Dent Res,2
Medknow,Indian J Ophthalmol,3
Medknow,Indian J Pathol Microbiol,2
Medknow,Indian J Pharmacol,1
Medknow,Int J Mycobacteriol,6
Medknow,Int J Prev Med,1
Medknow,J Cancer Res Ther,1
Medknow,J Vector Borne Dis,3
Medknow,Middle East Afr J Ophthalmol,1
Medknow,Neural Regen Res,6
Medknow,Niger J Clin Pract,2
Medknow,Res Pharm Sci,1
Medknow,Saudi J Gastroenterol,1
Medknow,Saudi J Kidney Dis Transpl,1
Medpharm Publications,S Afr J Surg,1
Microbiology Research Foundation,J Gen Appl Microbiol,2
Microbiology Society,Int J Syst Evol Microbiol,18
Microbiology Society,J Gen Virol,106
Microbiology Society,J Med Microbiol,30
Microbiology Society,Microb Genom,11
Microbiology Society,Microbiology (Reading),126
MyJove Corporation,J Vis Exp,123
Médecine et Hygiène,Rev Med Suisse,1
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),Fiziol Zh (1994),10
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),Mikrobiol Z,7
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),Ukr Biochem J,1
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),Exp Oncol,4
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),Ukr Biochem J,1
National Institute of Industrial Health,Ind Health,1
National Institute of Public Health,Cent Eur J Public Health,1
National Institute of Public Health NIH (National Research Institute),Rocz Panstw Zakl Hig,1
National Library of Serbia,Srp Arh Celok Lek,1
National Library of Serbia,Vojnosanit Pregl,1
National Research Center for Radiation Medicine of the NAMS of Ukraine,Probl Radiac Med Radiobiol,1
Nieto Editores,Ginecol Obstet Mex,1
Nihon University School of Dentistry,J Oral Sci,2
Norwegian Medical Association,Tidsskr Nor Laegeforen,1
OMICS Publishing Group,Indian J Pharm Sci,1
OMICS Publishing Group,J Genet Syndr Gene Ther,1
Oceanside Publications Inc.,Allergy Asthma Proc,1
Optica Publishing Group,Appl Opt,1
Ovid Technologies (Wolters Kluwer Health),AIDS,15
Ovid Technologies (Wolters Kluwer Health),ASAIO J,1
Ovid Technologies (Wolters Kluwer Health),Adv Anat Pathol,2
Ovid Technologies (Wolters Kluwer Health),Adv Skin Wound Care,1
Ovid Technologies (Wolters Kluwer Health),Alzheimer Dis Assoc Disord,1
Ovid Technologies (Wolters Kluwer Health),Am J Dermatopathol,1
Ovid Technologies (Wolters Kluwer Health),Am J Forensic Med Pathol,1
Ovid Technologies (Wolters Kluwer Health),Am J Gastroenterol,9
Ovid Technologies (Wolters Kluwer Health),Am J Phys Med Rehabil,1
Ovid Technologies (Wolters Kluwer Health),Am J Surg Pathol,10
Ovid Technologies (Wolters Kluwer Health),Am J Ther,2
Ovid Technologies (Wolters Kluwer Health),Anesth Analg,13
Ovid Technologies (Wolters Kluwer Health),Anesthesiology,8
Ovid Technologies (Wolters Kluwer Health),Ann Plast Surg,1
Ovid Technologies (Wolters Kluwer Health),Ann Surg,5
Ovid Technologies (Wolters Kluwer Health),Anticancer Drugs,32
Ovid Technologies (Wolters Kluwer Health),Appl Immunohistochem Mol Morphol,10
Ovid Technologies (Wolters Kluwer Health),Arterioscler Thromb Vasc Biol,79
Ovid Technologies (Wolters Kluwer Health),Behav Pharmacol,2
Ovid Technologies (Wolters Kluwer Health),Blood Coagul Fibrinolysis,16
Ovid Technologies (Wolters Kluwer Health),Cardiol Rev,1
Ovid Technologies (Wolters Kluwer Health),Chin Med J (Engl),29
Ovid Technologies (Wolters Kluwer Health),Circ Arrhythm Electrophysiol,2
Ovid Technologies (Wolters Kluwer Health),Circ Cardiovasc Genet,5
Ovid Technologies (Wolters Kluwer Health),Circ Cardiovasc Imaging,1
Ovid Technologies (Wolters Kluwer Health),Circ Genom Precis Med,4
Ovid Technologies (Wolters Kluwer Health),Circ Heart Fail,3
Ovid Technologies (Wolters Kluwer Health),Circ Res,109
Ovid Technologies (Wolters Kluwer Health),Circulation,64
Ovid Technologies (Wolters Kluwer Health),Clin J Am Soc Nephrol,2
Ovid Technologies (Wolters Kluwer Health),Clin J Pain,1
Ovid Technologies (Wolters Kluwer Health),Clin Nucl Med,3
Ovid Technologies (Wolters Kluwer Health),Clin Orthop Relat Res,4
Ovid Technologies (Wolters Kluwer Health),Clin Spine Surg,1
Ovid Technologies (Wolters Kluwer Health),Clin Transl Gastroenterol,3
Ovid Technologies (Wolters Kluwer Health),Cornea,3
Ovid Technologies (Wolters Kluwer Health),Coron Artery Dis,3
Ovid Technologies (Wolters Kluwer Health),Crit Care Med,18
Ovid Technologies (Wolters Kluwer Health),Curr Opin HIV AIDS,1
Ovid Technologies (Wolters Kluwer Health),Curr Opin Hematol,1
Ovid Technologies (Wolters Kluwer Health),Curr Opin Nephrol Hypertens,1
Ovid Technologies (Wolters Kluwer Health),Diagn Mol Pathol,1
Ovid Technologies (Wolters Kluwer Health),Dis Colon Rectum,3
Ovid Technologies (Wolters Kluwer Health),Eur J Anaesthesiol,2
Ovid Technologies (Wolters Kluwer Health),Eur J Cancer Prev,4
Ovid Technologies (Wolters Kluwer Health),Eur J Gastroenterol Hepatol,2
